,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,updateDate
2825,微笑碳烤 (北投裕民店),b4sj,2,['小吃'],False,29.0,99.0,40.0,10.0,1.0843134473250475,1604,2023-05-23 11:48:33.979633
2826,石牌夜市龍門東山鴨頭,q4z9,1,"['小吃', '台式']",False,29.0,99.0,40.0,15.0,1.133149141920203,73,2023-05-23 11:48:33.979633
2827,常欲春 好香蒙古烤肉 (台北士林店),r0zh,2,['台式'],False,29.0,99.0,40.0,15.0,3.3958911746260436,84,2023-05-23 11:48:33.979633
2828,咵腹麻婆燴飯 (士林店),kaaz,2,"['便當', '台式']",False,29.0,99.0,40.0,15.0,3.3923625502110553,156,2023-05-23 11:48:33.979633
2829,文化脆皮車輪蛋糕,bcr6,1,['甜點'],False,29.0,99.0,40.0,15.0,1.0712570741433618,315,2023-05-23 11:48:33.979633
2830,好炸小地方,v1k5,2,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,1.7968839712024127,148,2023-05-23 11:48:33.979633
2831,林家美味串燒小館,xj75,2,['日式'],False,29.0,99.0,40.0,15.0,1.6634619907528965,451,2023-05-23 11:48:33.979633
2832,大發生猛海鮮,f5xy,3,"['湯品', '便當', '台式']",False,29.0,99.0,40.0,15.0,1.2494831514723441,2041,2023-05-23 11:48:33.979633
2833,川晏麻辣燙,kt92,2,['小吃'],False,29.0,99.0,40.0,15.0,1.919987021643095,64,2023-05-23 11:48:33.979633
2834,雨農滷味,b1oi,1,['小吃'],False,29.0,99.0,40.0,10.0,2.4356414473253367,1512,2023-05-23 11:48:33.979633
2835,王媽媽鍋燒麵,aazz,2,"['湯品', '麵食', '台式']",False,29.0,99.0,40.0,15.0,3.5226335480952837,591,2023-05-23 11:48:33.979633
2836,好雞匯鹹水雞 (台北士林旗艦店),q8sf,1,['小吃'],False,29.0,99.0,40.0,15.0,3.5121210006063914,1400,2023-05-23 11:48:33.979633
2837,秘制神滷 (北投裕民店),dybz,2,"['麵食', '小吃']",False,29.0,99.0,40.0,15.0,1.139371447292184,7,2023-05-23 11:48:33.979633
2838,丞祖胡椒餅 (士林大南店),u9il,1,['小吃'],False,29.0,99.0,40.0,15.0,3.358903507070279,35,2023-05-23 11:48:33.979633
2839,日上鐵板燒,rk92,1,"['鐵板燒', '台式']",False,29.0,99.0,40.0,15.0,3.5313541158790707,660,2023-05-23 11:48:33.979633
2840,炸老大雞排鹹酥雞專賣店 (台北士林店),tro3,2,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,3.678338996396633,418,2023-05-23 11:48:33.979633
2841,來BUY黃金營養三明治,lhox,2,"['台式', '三明治 / 吐司']",False,29.0,99.0,40.0,15.0,1.6536663615100002,58,2023-05-23 11:48:33.979633
2842,炒飯匠 (士林基河店),rg63,2,"['湯品', '台式']",False,29.0,99.0,40.0,15.0,3.5226298407900956,55,2023-05-23 11:48:33.979633
2843,冠大腸包小腸,tzc8,1,['小吃'],False,29.0,99.0,40.0,15.0,3.409278524583443,505,2023-05-23 11:48:33.979633
2844,教父鹽酥雞 炸雞,x0vq,2,"['小吃', '炸雞']",False,29.0,99.0,40.0,15.0,3.545796199558795,29,2023-05-23 11:48:33.979633
2845,What義式,q3ed,2,"['歐美', '麵食']",False,29.0,99.0,40.0,15.0,3.307803979078488,87,2023-05-23 11:48:33.979633
2846,關於滷味,x1xp,1,['小吃'],False,29.0,99.0,40.0,15.0,2.95585758027684,78,2023-05-23 11:48:33.979633
2847,大嘴巴牛排館 (台北石牌店),d5qg,3,"['台式', '牛排']",False,29.0,99.0,40.0,10.0,1.1472803923889425,1712,2023-05-23 11:48:33.979633
2848,好吸HITS THE SPOT (台北大南店),k6ca,1,['飲料'],False,29.0,99.0,40.0,15.0,3.382516994526535,141,2023-05-23 11:48:33.979633
